LA,URN,NTEA,NTEAAS,NNONTEA,NFTETEA,NFTETEAAS,NFTENONTEA,RATPUPTEA,SALARY
823,109746,30,56,19,28.4,48.5,16.0,5.9,38547
823,140286,19,25,8,19.0,22.5,7.3,3.2,39524
825,110195,4,4,4,2.1,2.1,3.5,17.8,36942
825,110199,3,3,9,2.6,1.6,6.6,20.4,39162
825,110201,14,5,8,12.6,5.0,7.9,1.3,43223
825,138102,3,16,2,3.0,13.9,1.1,3.3,39283
825,110205,24,14,12,18.8,13.0,10.7,1.8,38490
825,136684,17,14,7,14.7,11.0,4.6,0.1,39011
825,131852,38,42,8,36.4,36.6,6.8,13.9,32521
825,110206,26,33,9,24.0,25.0,7.8,18.1,33664
825,137570,15,11,2,13.6,8.5,1.9,20.1,30531
825,131907,10,10,4,9.0,4.8,2.4,24.5,36052
825,131815,23,24,15,21.0,17.9,11.5,20.6,34758
825,110208,4,5,1,3.2,3.2,0.6,9.7,31428
825,110209,11,3,3,8.5,2.5,1.3,17.6,33443
825,131908,22,20,5,19.9,15.2,3.6,21.2,32312
825,138583,5,4,2,5.0,2.9,1.3,22.0,34013
825,133513,21,30,4,17.1,19.6,3.1,16.6,34038
825,133512,7,15,4,6.6,11.2,2.7,27.9,33221
825,139679,9,4,5,8.4,2.3,2.6,15.5,42831
825,110214,12,11,5,8.2,5.6,3.5,24.1,38977
825,110215,10,11,2,8.5,7.5,1.5,24.5,34051
825,110216,7,6,3,7.0,2.3,1.2,14.7,40039
825,110217,10,15,5,10.0,12.3,3.9,24.5,33664
825,110218,4,NA,2,2.4,NA,1.8,10.3,38668
825,110219,4,3,2,2.8,1.9,0.6,14.5,36113
825,110220,7,9,4,6.3,5.3,1.9,33.2,35171
825,110222,6,4,1,3.8,2.2,1.0,10.4,37129
825,110223,5,4,2,3.6,2.2,0.9,16.6,40591
825,110224,3,2,1,2.6,0.6,0.5,6.5,36532
825,110225,11,4,13,9.3,2.2,8.1,24.0,37263
825,110227,4,5,1,4.0,2.8,0.6,16.5,37304
825,110228,12,10,2,9.9,8.1,1.6,17.7,37881
825,110229,6,4,1,4.1,3.4,1.1,22.0,38909
825,110234,14,4,15,12.1,2.8,8.8,16.1,36153
825,110236,10,8,3,8.1,6.5,2.0,24.9,34847
825,110237,5,6,3,4.1,1.9,1.1,16.2,35526
825,110238,6,6,2,6.0,4.3,1.6,21.3,34278
825,110239,9,7,2,7.6,6.3,1.7,21.8,34271
825,110241,5,5,1,4.2,2.6,0.9,15.7,34915
825,110243,13,13,5,11.0,6.0,3.4,20.9,35649
825,110244,10,10,4,9.0,4.9,2.0,24.9,38396
825,110247,7,10,2,7.0,6.3,1.5,25.3,35282
825,110248,11,10,1,10.7,6.6,0.5,16.1,32269
825,110249,15,18,3,10.9,8.1,2.4,19.3,35008
825,110253,3,3,1,2.6,1.5,0.5,13.1,43018
825,110255,9,12,3,7.3,6.9,1.4,24.7,37346
825,110258,11,14,4,9.7,11.1,1.8,16.6,33837
825,110260,14,11,3,12.8,9.0,2.3,17.6,34790
825,110261,14,14,3,12.3,10.7,2.4,17.7,35111
825,110265,11,14,3,10.0,6.5,2.3,24.1,33697
825,110266,13,8,4,9.8,4.7,1.9,16.0,33044
825,110268,9,14,3,9.0,7.9,1.8,19.9,36028
825,110269,8,10,3,8.0,7.5,2.2,21.6,35049
825,110270,12,8,2,10.8,6.2,1.5,20.9,36439
825,110271,15,10,4,11.2,5.2,2.8,20.2,38022
825,110274,15,13,2,12.0,9.6,1.7,20.1,36258
825,110276,26,31,3,23.6,24.2,3.0,18.2,29994
825,110278,14,10,4,11.6,5.9,3.6,18.2,37161
825,110279,9,8,3,8.6,5.8,2.2,21.4,36766
825,110280,24,18,4,19.4,10.6,3.7,23.8,35700
825,110282,22,24,5,19.4,17.1,3.8,21.3,35093
825,110283,11,15,2,9.2,9.7,1.6,20.4,37261
825,110284,10,14,3,8.8,7.9,1.7,20.4,38601
825,110286,22,18,3,20.5,15.6,2.0,16.1,32332
825,110287,16,12,3,10.6,7.2,2.4,21.3,32514
825,110289,26,16,6,22.5,13.9,4.4,18.2,34281
825,110291,28,17,5,21.0,10.4,3.1,20.2,35645
825,110293,16,12,2,12.3,10.1,1.3,24.6,34447
825,110294,8,9,4,8.0,4.2,2.2,23.4,32674
825,110297,11,13,3,9.8,9.8,1.8,22.6,32833
825,110298,10,10,2,9.4,7.4,1.7,22.1,34082
825,110299,26,33,8,19.5,19.0,4.6,21.6,35417
825,110300,14,9,4,11.4,7.0,2.6,20.8,35456
825,110303,13,9,3,11.1,4.7,2.1,22.3,35584
825,110304,12,8,4,9.7,3.7,1.8,22.5,37062
825,110305,14,11,3,11.1,7.1,2.5,21.4,34834
825,110309,11,17,16,9.9,10.0,10.2,18.5,35003
825,110313,19,27,7,19.0,19.5,5.4,20.5,34416
825,110314,24,30,6,18.8,17.6,3.9,22.4,35911
825,110318,24,21,5,22.7,16.0,3.4,19.0,35195
825,110319,21,14,5,21.0,10.9,3.6,19.9,31548
825,110320,9,9,1,8.1,5.5,0.9,17.5,36158
825,137979,26,29,5,23.1,22.0,4.1,18.3,37733
825,110324,9,9,3,7.7,5.4,0.9,23.7,37810
825,110326,20,21,3,16.1,15.9,2.1,20.7,35449
825,110328,7,11,2,5.0,6.6,1.1,23.6,36390
825,110329,30,25,8,26.2,14.2,5.9,21.5,33590
825,110332,24,21,4,19.1,11.8,3.1,20.6,34765
825,110333,11,14,5,8.3,7.4,2.5,24.9,36135
825,110335,12,9,3,10.0,5.4,1.9,21.3,34269
825,110336,11,12,3,8.6,6.6,1.7,24.7,37360
825,110337,12,12,2,10.7,7.8,1.5,16.0,33271
825,110338,12,11,3,9.4,5.5,2.0,22.2,35935
825,110340,12,9,2,10.0,6.1,1.8,23.8,37103
825,110342,28,22,5,22.7,15.4,3.5,22.6,34704
825,110343,10,21,3,8.4,11.3,1.8,24.5,40661
825,110344,10,18,3,8.7,8.2,1.4,21.2,34992
825,110347,13,16,4,10.5,8.2,2.0,22.2,36285
825,110351,18,15,5,15.6,9.9,3.5,23.1,33667
825,110353,11,10,2,10.4,5.1,2.0,23.2,36549
825,110356,37,26,11,33.9,19.0,7.1,17.3,33558
825,110358,39,50,6,34.1,34.0,5.6,18.0,35979
825,110359,15,15,4,13.6,8.8,2.9,20.0,34570
825,110360,21,34,6,18.5,20.2,5.3,22.3,34704
825,110374,9,7,3,8.7,5.9,2.3,19.0,33057
825,110376,12,11,2,9.2,8.1,2.0,23.9,36490
825,110391,8,12,3,7.2,8.4,2.3,22.6,38015
825,110393,21,19,4,17.4,12.5,2.3,23.1,36875
825,110396,11,6,5,7.6,4.4,3.4,17.9,34354
825,137939,39,44,11,35.6,29.7,8.8,18.2,31834
825,110398,16,16,5,11.5,8.6,4.1,18.2,37120
825,110403,29,47,6,24.1,29.0,4.7,17.8,35242
825,130328,23,19,5,17.2,13.4,4.0,24.2,37413
825,131523,17,19,2,14.4,11.7,1.5,14.8,31348
825,110410,10,11,5,8.0,6.1,2.8,15.5,33348
825,110411,9,8,2,7.1,5.2,1.0,18.0,33967
825,110412,9,5,2,6.8,2.6,0.9,15.3,38055
825,110413,6,6,1,4.5,2.2,0.7,14.7,32490
825,110414,11,10,4,8.8,5.3,1.9,22.1,38402
825,110415,3,1,1,3.0,0.8,0.6,14.7,41606
825,110416,22,16,5,18.3,12.2,3.6,22.5,35230
825,110417,15,16,2,13.0,9.9,1.6,21.7,33872
825,139446,14,11,3,10.4,6.7,1.6,17.5,33519
825,110419,14,11,3,14.0,7.8,2.1,19.3,32801
825,110420,9,14,4,8.6,7.5,1.9,24.0,33727
825,110421,18,13,3,16.4,9.5,2.4,21.5,30802
825,110422,13,9,2,10.7,4.3,1.7,18.5,35649
825,110423,8,7,3,7.2,4.4,1.6,21.2,36027
825,110424,14,15,3,9.4,9.4,2.2,19.1,35807
825,110425,11,10,3,10.0,5.3,1.8,21.4,32094
825,110426,6,4,1,3.6,1.3,0.3,15.2,42991
825,140721,22,17,4,19.5,9.4,3.4,20.6,34645
825,110428,4,4,3,3.7,1.7,1.0,17.4,36337
825,110429,10,10,3,7.6,4.6,1.7,19.5,35045
825,110430,6,6,2,3.5,2.9,0.8,18.4,31967
825,110431,20,23,3,18.3,12.0,2.4,22.2,34083
825,110432,10,8,2,9.6,4.5,1.2,17.1,30806
825,110433,11,11,3,8.8,6.9,1.7,20.7,32707
825,110434,13,10,2,11.0,5.9,1.4,18.6,36679
825,110435,24,17,3,20.8,11.2,2.7,15.8,34569
825,110437,5,7,2,5.0,4.5,1.1,17.6,33360
825,110438,7,5,1,4.2,2.7,0.7,18.2,34125
825,110440,11,11,2,9.6,7.2,2.0,21.7,35626
825,110441,10,9,1,7.7,5.1,1.0,16.9,33985
825,110442,6,6,1,4.8,2.9,0.6,14.8,33509
825,110444,6,4,5,4.2,2.0,1.9,10.4,33042
825,110445,13,10,3,9.4,4.3,1.9,18.5,34761
825,110446,7,5,2,4.8,3.0,1.3,21.8,35985
825,110447,12,9,5,11.0,6.1,1.7,17.2,32573
825,110448,8,7,2,5.5,3.7,1.5,13.4,31490
825,110449,20,13,6,17.4,8.9,3.4,21.4,37956
825,110450,13,14,5,11.4,9.1,3.4,19.8,33329
825,110451,11,6,1,8.0,3.6,1.0,14.6,36637
825,110452,10,10,2,9.3,6.2,1.7,19.2,36547
825,110454,3,3,1,2.3,1.4,0.6,10.7,36536
825,110455,19,22,7,13.1,8.3,4.3,25.4,35164
825,136726,23,14,9,18.4,8.2,4.3,19.2,34550
825,110457,4,3,1,3.4,1.0,0.7,13.4,36220
825,139164,13,15,4,9.7,8.4,2.4,22.6,40473
825,110459,17,11,5,15.2,7.5,3.6,23.1,33731
825,110460,8,5,2,5.7,3.3,0.8,12.6,31253
825,110461,8,6,2,6.2,3.2,1.1,21.5,36047
825,110462,11,12,3,9.7,7.4,1.8,24.1,38543
825,110463,14,8,3,10.1,5.2,1.5,20.7,35469
825,110464,5,3,1,4.0,2.0,0.5,9.5,36405
825,110465,12,10,3,11.0,6.7,1.7,23.2,35815
825,110466,5,9,1,4.5,4.3,0.9,16.6,35670
825,110467,8,1,9,4.8,0.7,3.4,13.2,36610
825,110468,3,2,1,2.4,0.8,0.8,16.9,41636
825,110469,15,12,5,12.8,6.5,3.2,18.6,34163
825,138121,10,10,3,8.9,7.5,2.7,23.9,33382
825,110471,20,12,3,16.2,7.9,2.1,19.6,35548
825,110473,10,10,1,8.9,5.9,1.0,20.4,38310
825,110475,11,9,2,9.5,6.1,1.7,25.5,39049
825,110477,21,21,5,18.1,11.5,4.0,23.1,32961
825,110478,10,12,3,8.6,9.5,2.5,20.7,33978
825,110479,11,8,2,9.3,5.3,1.5,23.3,32094
825,110480,11,11,3,10.0,9.7,2.2,21.5,38255
825,133756,28,38,8,23.3,30.1,5.3,18.8,34466
825,137280,48,15,22,46.8,10.7,17.5,15.7,36974
825,136858,62,22,27,59.0,19.2,21.1,14.5,36040
825,137864,45,7,14,44.4,6.0,10.9,13.8,38171
825,139434,16,2,5,12.2,1.5,4.6,12.0,37915
825,110484,67,20,21,66.3,16.9,17.4,15.3,37018
825,139663,11,6,4,10.0,5.2,3.5,20.4,37962
825,139897,14,NA,6,12.7,NA,4.9,13.7,39291
825,140678,53,17,28,48.0,13.5,21.4,13.9,34767
825,136771,61,11,27,57.2,7.7,22.8,18.0,37901
825,110488,87,23,28,80.7,16.8,22.7,16.4,37700
825,137372,76,40,31,66.4,34.6,24.3,14.7,35876
825,110490,67,11,22,64.7,10.0,20.0,14.8,35625
825,137261,55,24,30,52.8,20.2,23.1,18.6,35885
825,137564,61,8,22,55.3,6.9,19.5,17.5,38467
825,136846,86,5,32,73.1,4.4,27.4,17.5,36900
825,137219,84,5,31,67.7,3.8,23.4,15.7,38250
825,136845,69,9,26,63.4,6.7,24.4,17.5,37967
825,110497,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
825,138058,53,18,24,49.1,12.8,19.3,16.7,38159
825,110500,43,21,23,42.4,17.6,20.0,17.1,38736
825,137091,82,13,31,68.9,10.6,26.0,17.9,38948
825,139367,54,13,16,51.4,10.9,13.4,16.8,40642
825,137256,81,34,31,73.5,26.0,28.2,13.6,31963
825,137343,59,8,17,50.9,7.1,15.1,16.6,37257
825,136884,87,6,33,75.5,4.9,27.0,17.4,34836
825,137344,75,24,27,68.4,13.3,21.3,18.7,39047
825,136723,90,7,38,80.8,4.8,31.4,16.2,35068
825,136419,74,4,44,68.4,1.5,35.3,19.3,39339
825,136781,68,13,28,58.2,11.5,23.7,18.1,36361
825,110516,61,35,18,56.0,22.0,13.6,19.4,36983
825,110518,16,19,2,14.1,8.5,2.0,22.1,34383
825,110519,13,13,3,11.6,9.9,2.1,22.6,34430
825,137964,35,36,11,29.9,24.4,7.3,20.7,32402
825,110521,8,9,3,8.0,7.7,2.3,16.1,36258
825,110522,22,33,4,20.8,26.9,3.7,23.9,33126
825,110523,16,19,5,13.7,10.6,2.6,18.6,33118
825,110524,9,13,2,8.3,8.1,1.4,25.2,34803
825,110277,22,15,5,18.0,8.5,3.6,22.7,32414
825,137774,21,30,4,18.1,14.7,3.2,23.0,36759
825,140893,86,9,38,66.1,4.7,26.4,16.6,37192
825,137215,101,39,35,92.6,31.6,30.4,18.4,38485
825,136484,95,10,36,81.5,5.3,28.6,16.9,40109
825,110533,83,18,25,77.0,13.3,18.6,14.1,36693
825,137355,68,18,21,60.9,16.1,19.4,16.4,39191
825,136964,77,36,36,72.8,24.8,28.3,17.0,37991
825,135879,64,32,27,60.9,27.5,25.9,18.0,39443
825,131915,10,24,3,8.7,19.1,2.2,5.1,34923
825,137934,23,19,13,18.7,14.8,8.1,7.3,45574
825,110576,17,22,10,15.7,20.2,6.8,7.4,40753
825,110577,15,11,14,14.5,10.2,7.0,2.5,41395
825,110578,16,43,10,15.8,40.2,7.6,7.2,37012
825,110579,26,29,11,24.7,26.6,8.1,6.8,39404
825,110581,9,43,5,8.0,33.8,3.2,8.4,38196
825,110582,16,32,5,13.6,26.4,4.9,5.2,44042
825,110585,19,20,7,16.9,14.4,6.7,6.6,43897
825,110588,31,111,10,29.7,87.8,8.3,7.2,35968
825,110590,23,12,12,SUPP,10.9,5.5,3.1,34882
825,131933,11,10,3,10.5,9.8,2.7,3.5,37539
826,110197,3,2,7,2.6,1.7,4.8,18.7,42044
826,126565,2,1,5,2.0,1.0,3.5,11.3,SUPP
826,134310,3,4,1,3.0,3.8,0.8,4.3,42647
826,140252,18,25,9,17.5,24.6,8.6,3.6,36188
826,131397,21,22,7,18.1,14.7,4.4,22.6,34927
826,131670,9,15,3,7.8,10.5,2.0,19.9,34200
826,131718,41,14,12,35.2,9.2,7.9,21.3,35811
826,132733,20,24,10,17.6,18.6,5.3,19.8,34223
826,136929,29,33,6,25.8,24.7,6.0,17.4,35170
826,132210,17,12,3,15.9,8.4,2.6,18.6,33991
826,132786,13,18,4,11.0,12.4,2.8,21.2,34900
826,132787,24,29,8,21.9,17.2,5.1,20.0,36017
826,133259,28,22,3,22.3,12.9,2.8,19.0,35583
826,133366,14,18,6,12.8,13.7,5.3,14.9,35342
826,134164,23,19,7,21.0,13.0,5.0,20.6,36053
826,110213,4,5,1,3.2,1.5,1.0,13.6,37996
826,140734,23,25,7,21.3,18.5,4.7,24.0,34690
826,134072,27,24,9,23.5,14.8,7.4,17.7,33361
826,138440,9,12,6,8.6,9.8,3.9,23.4,39251
826,138605,15,11,4,14.6,8.5,3.5,15.8,31636
826,139057,17,13,7,17.0,10.4,6.8,20.2,34080
826,110226,3,6,1,2.8,2.4,0.7,9.9,43018
826,110230,13,9,4,11.6,5.8,1.2,19.5,36155
826,110231,4,9,2,3.6,4.9,0.8,20.3,36796
826,110240,10,13,2,8.6,10.1,1.2,19.2,36926
826,110242,9,8,3,6.4,4.9,1.6,19.4,33476
826,110245,25,27,3,20.3,21.4,2.3,21.2,37811
826,136792,15,17,4,11.1,10.7,2.6,23.9,37112
826,110252,11,8,7,9.9,5.6,5.7,21.1,35761
826,110256,21,13,3,18.6,8.7,2.4,19.1,32701
826,110257,23,26,4,19.5,21.7,3.2,19.7,33249
826,136275,26,29,7,26.0,22.9,6.7,20.1,32278
826,110290,14,10,5,12.3,6.9,4.2,20.3,36118
826,110322,20,14,6,19.4,12.4,5.9,16.1,35180
826,110327,10,15,3,9.8,11.4,2.2,20.3,36863
826,110330,11,13,8,9.0,8.5,5.3,19.1,35076
826,110345,12,14,5,10.4,9.3,3.4,16.3,34023
826,110352,27,12,6,22.5,7.4,3.7,17.0,32002
826,110354,20,20,10,20.0,17.8,8.9,17.5,34908
826,110355,22,26,4,19.1,18.7,3.5,20.3,36259
826,110361,6,7,2,6.0,5.7,1.1,17.7,38439
826,110363,14,17,4,12.2,11.5,2.7,16.9,36414
826,110365,18,9,6,15.6,7.0,3.1,14.9,32774
826,110366,18,2,3,15.8,1.9,2.4,18.1,32824
826,110367,12,13,2,12.0,8.7,2.0,14.3,39457
826,110368,7,10,3,5.6,6.9,1.5,15.4,39246
826,110369,19,15,7,17.1,8.1,3.3,16.7,35165
826,110372,6,11,3,5.1,8.8,2.6,20.7,39209
826,110375,8,8,3,7.1,6.1,1.8,15.8,33600
826,138715,11,10,3,9.7,8.6,2.8,15.2,32095
826,110379,9,15,8,8.4,11.3,6.3,17.7,35899
826,110380,7,14,3,7.0,9.2,1.9,25.3,36640
826,110381,24,27,6,21.2,20.6,4.2,18.2,32300
826,110382,9,7,1,7.8,5.6,0.9,13.5,35323
826,110384,11,10,7,8.7,6.1,5.0,20.8,35370
826,110385,21,17,5,19.0,12.5,3.2,19.1,34928
826,110388,24,25,5,19.6,13.8,3.2,19.1,34258
826,139449,25,17,8,22.9,14.0,4.9,21.3,36113
826,139861,29,26,5,25.0,17.4,4.2,19.2,37220
